epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,11453.9,0.4241,0.27702,0.87798,0.99829,0.99432,0.995,0.94972,0.34256,0.21246,0.79109,0.0006734,0.0006734,0.0006734
69,11622,0.42301,0.28361,0.88677,0.99707,1,0.995,0.94457,0.33045,0.20484,0.78741,0.0006536,0.0006536,0.0006536
70,11789.7,0.40988,0.2745,0.8708,0.99757,1,0.995,0.94265,0.34472,0.20377,0.7862,0.0006338,0.0006338,0.0006338
71,11957.6,0.41187,0.2654,0.87661,0.99908,1,0.995,0.94631,0.33598,0.19309,0.79422,0.000614,0.000614,0.000614
72,12125.5,0.41446,0.26918,0.8857,0.99827,1,0.995,0.94818,0.34557,0.19444,0.79553,0.0005942,0.0005942,0.0005942
73,12293.9,0.39714,0.26682,0.88524,0.99488,1,0.995,0.94458,0.33651,0.19912,0.79339,0.0005744,0.0005744,0.0005744
74,12462,0.37847,0.25383,0.86509,0.99713,1,0.995,0.93911,0.37048,0.20145,0.80612,0.0005546,0.0005546,0.0005546
75,12630.3,0.4025,0.26811,0.87209,0.99709,1,0.995,0.94623,0.35135,0.20058,0.79249,0.0005348,0.0005348,0.0005348
76,12798.4,0.39607,0.25727,0.87393,0.99792,1,0.995,0.94389,0.34428,0.19093,0.81391,0.000515,0.000515,0.000515
77,12966.4,0.38976,0.26358,0.86671,0.99912,1,0.995,0.93935,0.33849,0.18299,0.80121,0.0004952,0.0004952,0.0004952
78,13134,0.38667,0.25253,0.87178,0.99963,0.99432,0.995,0.94676,0.35025,0.1975,0.80496,0.0004754,0.0004754,0.0004754
79,13302.6,0.39363,0.25852,0.86574,0.9996,1,0.995,0.95176,0.34803,0.1922,0.80384,0.0004556,0.0004556,0.0004556
